country,ccode,rcode,srcode,cow,xdth,libdem,cpi,stfail,polity5,regime,polsys,fed,elesys,parorg,ctp,ctp1,ctp2,mog,mog6,gdppc,agr,sarsmers,airpm,smoke,sbpsev,prev509,hspbed,age65,temp,hlthsys,ppl,goveff,vax
Afghanistan,AFG,4,12,700,308.732196,19.2,19,1,-1,0,0,NA,0,0.4672,NA,NA,NA,Anarchic,Anarchic,2065.036235,25.77397074,0,21.82822595,0.099842677,7.218556505,2141.35488,0.45918801,1.996978724,12.90742509,23,0,-1.463065028,32.585
Albania,ALB,6,16,339,629.9158432,40.3,36,0,9,2,2,0,2,1.0918,3.0918,111.3048,111.3048,Centripetal,Centripetal,13656.59275,18.39124351,0,24.72756158,0.316201257,11.28830929,1597.027317,2.657323632,13.72867158,14.09834168,47.4,0,-0.062213201,105.9
Algeria,DZA,1,5,615,230.0596947,14.7,36,0,2,1,1,0,2,1.009,NA,NA,72.324,Centralized,Centralized,11521.98421,12.33621211,1,59.80681005,0.17388416,5.558972331,1787.759753,1.920222383,6.153935566,17.95173268,15,0,-0.51639986,34.817
Angola,AGO,1,3,540,93.92328392,21.2,27,0,-2,1,NA,NA,2,1.257,NA,NA,NA,Centralized,Centralized,6670.331458,6.660703804,0,22.39757665,0.101913871,9.507273321,1757.566201,0.809562393,2.129881433,23.19042471,23.1,0,-1.117539883,72.699
Argentina,ARG,2,8,160,377.8066132,67,42,0,9,3,0,2,2,0.9348,-1.0652,-44.7384,-44.7384,Decentralized,Somewhat decentralized,22066.10101,5.111016511,0,29.44374676,0.243252264,4.03588795,2973.096674,4.625394735,9.639292319,17.67170263,64.4,0,-0.086998366,242.617
Armenia,ARM,6,17,371,518.9829296,59.7,49,0,7,2,2,0,1,1.0475,2.0475,100.3275,100.3275,Centripetal,Centripetal,13653.76338,11.52561074,0,45.71856528,0.279252427,9.521760115,2387.997584,4.031697783,10.13928576,7.948689132,58.8,0,-0.0666463,72.6
Australia,AUS,4,14,900,90.810071,78.7,77,0,10,3,2,2,0,0.9639,-1.0361,-79.7797,-79.7797,Decentralized,Decentralized,49309.1124,2.116864006,0,20.36878258,0.153793757,6.438215199,3157.319054,3.823835053,15.38406648,17.81276327,69.2,0,1.571555257,253.136
Austria,AUT,6,18,305,272.6018616,75.8,76,0,10,3,2,2,2,1.1181,1.1181,84.9756,84.9756,Centripetal,Centripetal,55833.5599,1.071582724,1,30.35266453,0.311283177,8.167692154,3116.436299,7.38013211,16.5400161,9.060730472,54,0,1.527736902,228.7
Azerbaijan,AZE,6,17,373,402.1063631,6.6,30,0,-7,1,NA,NA,0,1.3223,NA,NA,NA,Centralized,Centralized,14442.04086,5.695258144,0,32.4833639,0.224206034,8.854632898,2357.902277,5.469980007,4.850467826,13.73861845,24.1,0,-0.140170261,136.1
Bahrain,BHR,5,15,692,338.9947955,4.8,42,0,-10,1,NA,0,0,0.8997,NA,NA,NA,Centralized,Centralized,45311.86412,0.281214887,0,82.7576901,0.162367655,8.340736125,2013.409361,2.079978076,3.297730606,28.78407482,41.2,0,0.298490554,204.319
Bangladesh,BGD,4,12,771,432.4695714,9.7,26,0,-6,1,2,0,0,1.3743,NA,NA,NA,Centralized,Centralized,4753.727027,12.68027557,0,33.21037593,0.230683015,4.929885872,2975.43153,0.461004243,7.298578372,25.47708412,25.6,0,-0.74028492,214.371
Barbados,BRB,2,6,53,165.9488219,68.4,64,NA,NA,3,2,0,0,1.0741,1.0741,68.7424,68.7424,Centripetal,Centripetal,15639.04784,1.301,0,45.60670014,0.090869814,6.956518616,1039.63047,6.421910062,14.20713083,26.76699562,12,0,0.631136179,132.584
Belarus,BLR,6,17,370,767.6258809,7.6,47,0,-7,1,NA,0,0,0.8782,NA,NA,NA,Centralized,Centralized,19279.20925,6.794668828,0,39.93062215,0.357815064,11.90911706,1765.17982,10.46492507,10.76698448,7.846950807,45.7,0,-0.184353247,199.7
Belgium,BEL,6,18,211,261.7504481,82.1,76,0,8,3,2,2,2,1.068,1.068,81.168,81.168,Centripetal,Centripetal,51944.16703,0.665864008,0,31.58110104,0.231570262,8.099927338,3927.746326,5.763635051,16.94429539,11.53529604,64.2,0,1.148131728,252.6
Benin,BEN,1,4,434,1.435562123,29.5,41,0,7,1,0,0,2,1.1887,NA,NA,48.7367,Centralized,Centralized,3287.309538,26.87580163,0,16.9881059,0.059623379,8.455417333,1928.04162,0.424518623,2.560326528,28.11707218,7.7,0,-0.44111827,34.913
Bhutan,BTN,4,12,760,155.7919572,45.8,68,0,7,2,2,0,0,1.0386,1.0386,70.6248,70.6248,Centripetal,Centripetal,11864.76625,15.78414914,0,39.99068329,0.100134272,6.671783823,3222.649643,1.464050514,6.07622853,14.11368253,37.7,0,0.312439144,260.68
Bolivia,BOL,2,8,145,508.3633806,23,31,0,7,1,0,0,2,1.0577,NA,NA,32.7887,Centralized,Centralized,8724.474186,12.22175758,0,29.61186215,0.127207385,4.672857966,1864.834905,1.045312413,5.96560134,16.78719537,17.2,0,-0.699322104,134.576
Bosnia and Herzegovina,BIH,6,16,346,804.1532141,34,35,0,-66,2,2,2,2,1.0938,1.0938,38.283,38.283,Centripetal,Somewhat centripetal,14896.79588,5.603092222,0,34.09538935,0.376136302,10.43013753,2257.85326,3.230707226,14.78373554,10.8639013,41.7,0,-0.634474218,58.7
Botswana,BWA,1,3,571,346.7069522,48.1,60,0,8,2,2,0,0,0.7134,0.7134,42.804,42.804,Centripetal,Somewhat centripetal,16347.91008,2.10151927,0,26.5257188,0.218381978,10.27084697,2265.912014,1.803539933,3.432279143,21.75813769,20.9,0,0.428257465,132.723
Brazil,BRA,2,8,140,393.9483678,51.1,38,0,8,2,0,2,0,0.8607,-3.1393,-119.2934,-119.2934,Decentralized,Decentralized,14763.8717,4.401763235,0,25.3777589,0.088010954,7.303098478,2655.463348,2.328411379,8.345823845,23.9194986,50.3,1,-0.186902717,235.533
Bulgaria,BGR,6,16,355,1080.414555,49.1,44,0,9,2,2,0,2,1.0181,3.0181,132.7964,132.7964,Centripetal,Centripetal,23265.87692,3.241381685,0,34.28161232,0.375070963,9.942822776,2624.620174,6.404546681,17.83209608,11.52677624,60.8,0,0.263389736,66.3
Burkina Faso,BFA,1,4,439,27.14177193,50.6,40,0,6,2,1,0,2,0.9505,1.9505,78.02,78.02,Centripetal,Centripetal,2175.50468,18.37610291,0,13.78699311,0.086803393,6.456073859,1451.966821,0.582958237,2.748340312,28.90701676,13.7,0,-0.758757353,24.484
Burundi,BDI,1,1,516,98.83761474,5.3,19,0,-1,1,0,NA,2,1.037,NA,NA,NA,Centralized,Centralized,751.6641528,28.89755838,0,13.40036258,0.104054165,8.216874284,1758.169136,1.019508809,2.602120511,20.9981449,9.1,0,-1.326444745,0.271
Cambodia,KHM,4,13,811,171.1029829,6.6,21,0,-4,1,2,0,2,1.282,NA,NA,NA,Centralized,Centralized,4388.800909,20.71187069,0,14.997523,0.214543019,3.945501963,2214.56413,0.595682864,4.291206572,27.95888944,12.3,0,-0.580049992,272.82
Cameroon,CMR,1,2,471,117.3407533,12.4,25,0,-4,1,NA,0,1,1.1071,NA,NA,NA,Centralized,Centralized,3742.856779,16.80228356,0,42.48479059,0.080620301,8.3008965,2216.017041,1.463440852,2.720221726,25.42198047,20.3,0,-0.812125802,16.017
Canada,CAN,3,9,20,112.0209302,73.6,77,0,10,3,2,2,0,0.7103,-1.2897,-99.3069,-99.3069,Decentralized,Decentralized,49181.77352,1.7,2,15.50061307,0.170826845,5.865313589,2646.536765,2.918555699,16.82634807,6.539633097,67.3,0,1.73129344,247.074
